job_title,company_name,job_type,location,experience_years,skills
Security Engineer,Teleperformance - Egypt -,On-site,Katameya,· 1 - 5,[Security Engineer] [Experienced] [Installation/Maintenance/Repair] [IT/Software Development] [Engineering - Telecom/Technology] [CISSP] [Computer Science] [Engineering] [Information Security] [Information Technology (IT)] [ISO] [ISO 27001]
Senior Network Engineer,Egypt University of Informatics (EUI) -,On-site,New Capital,· 5 - 7,[Senior Network Engineer] [Experienced] [IT/Software Development] [Computer Science] [Engineering] [Information Technology (IT)]
Senior Technical Sales Executive,HorizonTechs -,On-site,Nasr City,· 3 - 7,[Senior Technical Sales Executive] [Experienced] [Business Development] [IT/Software Development] [Engineering - Telecom/Technology] [Negotiation] [sales skills] [Technical Sales] [Software Development] [ITIL] [Web Hosting] [AWS Cloud]
Senior Cloud Sales Executive,HorizonTechs -,On-site,Nasr City,· 3 - 6,[Senior Cloud Sales Executive] [Experienced] [Business Development] [IT/Software Development] [Engineering - Telecom/Technology] [Cloud] [Cloud Services] [Cloud Technology] [AWS Cloud] [Cloud Computing] [Computer Science] [Cloud Development]
Biomedical Service Engineer,Teqnia for Engineering and Development -,Hybrid,New Nozha,· 1 - 2,[Biomedical Service Engineer] [Entry Level] [Medical/Healthcare] [Engineering - Other] [Maintenance] [Installation] [Biomedical Engineering] [Service Engineer] [Medical Devices] [PPM] [Medical] [Health Care]
Automotive Project Manager,Confidential -,On-site,New Cairo,· 5 - 8,[Automotive Project Manager] [Manager] [Engineering - Construction/Civil/Architecture] [IT/Software Development] [Project/Program Management] [business] [Computer Science] [Engineering] [Information Technology (IT)] [Leadership] [excel] [Leadership skills]
Telesales B2B,Mubasher -,On-site,Nasr City,· 0 - 2,[Telesales B2B] [Entry Level] [Business Development] [Customer Service/Support] [Sales/Retail] [B2B] [B2B Sales] [business] [Sales] [sales skills] [Sales Target] [Business Development]
HSE Director,Egypt Kuwait Holding -,On-site,Giza,· 15 - 20,[HSE Director] [Experienced] [Other] [Health and Safety] [HSE] [HSE Management]
UX-UI Designer,GET Group- Egypt -,Hybrid,Sheraton,· 3 - 5,[UX-UI Designer] [Experienced] [Creative/Design/Art] [IT/Software Development] [Adobe Illustrator] [Photoshop] [XD] [Art] [Design] [OmniGraffle] [Axure] [Cinema 4D]
Account Manager-Alexandria,Arabic Localizer -,Hybrid,San Stefano,· 1 - 5,[Account Manager-Alexandria] [Entry Level] [Customer Service/Support] [Marketing/PR/Advertising] [Sales/Retail] [Account Management] [Communication skills] [Key Account] [sales skills] [Sales Target] [Skills] [Sales]
Technical Office Engineer-Security Systems,Tatas -,On-site,Abdeen,· 5 - 10,[Technical Office Engineer-Security Systems] [Experienced] [IT/Software Development] [Engineering - Telecom/Technology] [CCNA] [Electronics] [Communication] [CCTV System] [AutoCAD] [Engineering] [Information Technology (IT)] [Computer Science]
Data Analyst,Options -,Remote,Cairo,· 3 - 10,[Data Analyst] [Experienced] [IT/Software Development] [Marketing/PR/Advertising] [Analyst/Research] [Analysis] [Analyst] [Computer Science] [Python] [SQL] [AWS] [Information Technology (IT)]
Senior C# .NET Developer,Anzmah -,Remote,Katameya,· 3 - 5,[Senior C# .NET Developer] [Experienced] [IT/Software Development] [c#] [ASP.Net Web API] [WPF Development] [ERP Applications] [Data Integration]
Cybersecurity Senior with Backend development knowledge,Partner & More -,On-site,New Cairo,· 2 - 7,[Cybersecurity Senior with Backend development knowledge] [Experienced] [IT/Software Development] [AWS] [GraphQL] [PostgreSQL] [Backend development] [Nestjs] [CISSP] [Information Security] [Cybersecurity] [Encryption]
Technical Support Engineer,BBI-Consultancy -,On-site,Cairo,· 1 - 5,[Technical Support Engineer] [Experienced] [Installation/Maintenance/Repair] [IT/Software Development] [Information Technology (IT)] [Help desk] [Technical Support] [IT Officer]
Mobile App Developer,Egypt Gold  -,On-site,Heliopolis,· 2 - 3,[Mobile App Developer] [Entry Level] [Creative/Design/Art] [IT/Software Development] [App developer] [developer] [Information Technology (IT)] [app]
IT - Help Desk ( Technical Support ),Premium Card -,On-site,Dokki,· 0 - 1,[IT - Help Desk ( Technical Support )] [Entry Level] [IT/Software Development] [Information Technology (IT)] [CCNA] [MCSA] [Technical Support] [Help Desk] [IT Specialist]
Business Development Representative - Remotely - IT Sector,Alexandria For Programming -,Remote,Bolkly,· 3 - 20,[Business Development Representative - Remotely - IT Sector] [Entry Level] [Business Development] [IT/Software Development] [Business Development] [Cold Calls] [Communication] [Software Development] [sales skills] [Software] [Skills] [Experience]
Junior QA Specialist,scandiweb -,Remote,Alexandria,· 0 - 1,[Junior QA Specialist] [Entry Level] [IT/Software Development] [Project/Program Management] [Quality] [Quality Assurance] [Ecommerce] [Web Development] [ISTQB] [QA]
Data Analyst,Carina Wear -,On-site,New Cairo,· 1 - 3,[Data Analyst] [Entry Level] [IT/Software Development] [Analyst/Research] [Engineering - Telecom/Technology] [Data Analysis] [Microsoft Power BI] [business] [Analysis] [Computer Science] [Big Data Analytics] [Power BI]
Software Product Owner,arib -,On-site,Nasr City,· 3 - 5,[Software Product Owner] [Experienced] [IT/Software Development] [Engineering - Telecom/Technology] [Agile] [Computer Science] [Scrum] [Product Owner] [Product] [Management] [Software Development] [business]
Django Developer,Confidential -,On-site,Sheikh Zayed,· 1 - 4,[Django Developer] [Entry Level] [IT/Software Development] [Engineering - Telecom/Technology] [Django] [Python] [Back-End Development] [Amazon AWS] [Computer Science] [Engineering] [CSS] [Git]
Senior Data Analyst,Goldentex -,On-site,10th of Ramadan City,· 2 - 4,[Senior Data Analyst] [Experienced] [IT/Software Development] [Analyst/Research] [Engineering - Telecom/Technology] [BI] [Analysis] [Computer Science] [Data Analysis] [Engineering] [Information Technology (IT)] [Power BI]
Senior QC Engineer ( Automation ),National Technology -,Hybrid,Nasr City,· 3 - 5,[Senior QC Engineer ( Automation )] [Experienced] [IT/Software Development] [Engineering - Telecom/Technology] [Engineering - Mechanical/Electrical] [Agile] [Automation] [Computer Science] [Engineering] [Information Technology (IT)] [Java] [MongoDB]
Devops Engineer,National Technology -,Hybrid,Nasr City,· 2 - 3,[Devops Engineer] [Experienced] [Installation/Maintenance/Repair] [IT/Software Development] [Engineering - Telecom/Technology] [AWS] [Azure] [CI/CD] [Computer Science] [DevOps] [Docker] [Engineering]
Business Development Representative - Remotely,Alexandria For Programming -,Remote,Bolkly,,[Business Development Representative - Remotely] [Entry Level] [Business Development] [Marketing/PR/Advertising] [Business Development] [Cold Calling] [Sales] [Services] [colde email]
Senior Full Stack Engineer,USYTech -,Hybrid,Heliopolis,· 1+,[Senior Full Stack Engineer] [Entry Level] [IT/Software Development] [Engineering - Telecom/Technology] [Computer Science] [Development] [Information Technology (IT)] [Software Development] [Web Development] [JavaScript] [React] [Ruby]
IT Sales Account Manager,INetwork Solutions -,On-site,Giza,· 0 - 5,[IT Sales Account Manager] [Entry Level] [IT/Software Development] [Sales/Retail] [Communication] [Solutions] [IT] [IT sales] [IT solutions] [Negotiation] [Sales] [technical]
Technical Support Officer,Crystal Mind -,On-site,Nasr City,· 3 - 4,[Technical Support Officer] [Experienced] [Customer Service/Support] [IT/Software Development] [Engineering - Telecom/Technology] [Communication skills] [Information Technology (IT)] [Support] [Technical Support] [technical] [Customer Support]
Product Marketing Manager,Tafeel -,On-site,Nasr City,· 5 - 10,[Product Marketing Manager] [Manager] [IT/Software Development] [Operations/Management] [Marketing/PR/Advertising] [Marketing Management] [Product Development] [Software] [Market Research] [SEM] [Product Marketing] [Social Media]
Sales Account Executive,Simple Touch Software -,Hybrid,Maadi,· 3 - 5,[Sales Account Executive] [Experienced] [IT/Software Development] [Sales/Retail] [Sales] [CRM] [sales skills] [Business Development] [software] [Communication]
Senior Production Engineer,Outservingplus -,On-site,Giza,· 2 - 4,[Senior Production Engineer] [Experienced] [IT/Software Development] [Engineering - Telecom/Technology] [Engineering - Mechanical/Electrical] [Computer Science] [engineer] [Engineering] [Analysis] [Information Technology (IT)] [Management] [Manufacturing]
BI Data Analyst,Confidential -,Hybrid,Nasr City,· 1 - 3,[BI Data Analyst] [Entry Level] [IT/Software Development] [Analyst/Research] [Analysis] [BI Analyst] [Data Analyst] [excel] [Power BI] [Python] [Data Analysis] [Information Technology (IT)]
Internal Auditor,GET Group- Egypt -,On-site,Sheraton,· 3 - 5,[Internal Auditor] [Experienced] [Accounting/Finance] [Quality] [Analyst/Research] [Internal audit] [CIA] [Auditing] [Audit] [Finance]
Web Developer (PHP),Sigma Scientific Services Co. -,Remote,Cairo,· 2 - 10,[Web Developer (PHP)] [Experienced] [IT/Software Development] [Engineering - Telecom/Technology] [Computer Science] [HTML] [JavaScript] [MySQL] [PHP] [Web Development] [Information Technology (IT)] [CSS]
Senior Odoo Developer,Confidential -,On-site,Cleopatra,· 1 - 4,[Senior Odoo Developer] [Experienced] [Administration] [IT/Software Development] [Odoo] [Programming] [Software Development] [Software]
Senior Projects Sales Engineer,Terra Egypt -,Hybrid,Cairo,· 7 - 10,[Senior Projects Sales Engineer] [Experienced] [Engineering - Construction/Civil/Architecture] [Project/Program Management] [Sales/Retail] [Building Materials] [Outdoor Sales] [Sales Engineering] [Lead Generation] [Negotiation] [Presentation Skills] [Project Management]
Software Sales,Trio M Smart Solutions  -,Remote,Cairo,· 1 - 4,[Software Sales] [Experienced] [IT/Software Development] [Sales/Retail] [Engineering - Telecom/Technology] [Information Technology (IT)] [sales skills] [Software] [IT] [Sales] [Sales Target]
Procurement Engineer,Reach Out for Trading  -,On-site,Agouza,· 1 - 3,[Procurement Engineer] [Experienced] [Logistics/Supply Chain] [Purchasing/Procurement] [Engineering - Mechanical/Electrical] [Engineering] [Sourcing] [Foreign Procurement] [Logistics] [Software Development] [English] [Information Technology (IT)]
Software Tester,Naqla -,On-site,Nasr City,· 2 - 4,[Software Tester] [Experienced] [IT/Software Development] [Engineering - Telecom/Technology] [Computer Science] [Software Engineering] [Testing] [Software]
Software Mobile Maintenance,Tradeline Stores -,On-site,New Cairo,· 0 - 2,[Software Mobile Maintenance] [Entry Level] [Installation/Maintenance/Repair] [IT/Software Development] [Engineering - Telecom/Technology] [iOS] [computer] [Computer Science] [Software Development] [Software Engineering] [Information Technology (IT)]
UX Designer,Iktmal Solutions -,Hybrid,Nasr City,,[UX Designer] [Entry Level] [Creative/Design/Art] [IT/Software Development] [Engineering - Telecom/Technology] [UX] [User Experience (UX)] [Information Technology (IT)] [Balsamiq] [Sketch] [Design] [Creative]
Network And System Administrator,Mazzika Group -,On-site,Dokki,· 2 - 4,[Network And System Administrator] [Experienced] [Installation/Maintenance/Repair] [IT/Software Development] [Engineering - Telecom/Technology] [Computer Science] [Information Technology (IT)] [network] [Networking] [Software] [Security] [MCSE]
IT Specialist,Tatas -,On-site,Abdeen,· 5 - 6,[IT Specialist] [Experienced] [IT/Software Development] [Engineering - Telecom/Technology] [Computer Science] [Information Technology (IT)] [IT Specialist] [IT]
Senior PHP Developer,Egpay -,On-site,Maadi,· 5+,[Senior PHP Developer] [Experienced] [IT/Software Development] [Engineering - Telecom/Technology] [Startup] [SOAP] [Laravel] [GIT] [AngularJS] [RESTful] [Java] [javaScript]
Senior UX/UI Designer,Dimofinf Operations Center -,Hybrid,Nasr City,· 3 - 6,[Senior UX/UI Designer] [Experienced] [Creative/Design/Art] [IT/Software Development] [Engineering - Telecom/Technology] [Computer Science] [Design] [front-end] [HTML5] [Information Technology (IT)] [JavaScript] [photoshop]
Front End Developer,SmartTech Systems -,On-site,Nasr City,· 2+,[Front End Developer] [Experienced] [IT/Software Development] [Engineering - Telecom/Technology] [Angular] [Information Technology (IT)] [Software Development] [front-end] [CSS3] [HTML5] [JavaScript] [React]
Articulate Developer,jeel -,Hybrid,Nasr City,· 3 - 5,[Articulate Developer] [Experienced] [Education/Teaching] [Articulate Storyline] [Articulate] [E-Learning] [Education] [learning] [Storyline]
Remote Flutter Developer,AigentsX -,Remote,Cairo,,[Remote Flutter Developer] [Student] [IT/Software Development] [Engineering - Telecom/Technology] [flutter] [Firebase] [Dart] [Git] [Github] [Computer Science] [backend] [Programming]
Data Quality Analyst,The Address Investments for Real Estate Consultancy -,On-site,New Cairo,· 1 - 3,[Data Quality Analyst] [Experienced] [IT/Software Development] [Quality] [Engineering - Telecom/Technology] [Analysis] [Analyst] [Computer Science] [Data] [Data Analysis] [data quality] [Information Technology (IT)]
Senior Mobile Developer,Techsa -,Hybrid,New Cairo,· 2 - 5,[Senior Mobile Developer] [Experienced] [IT/Software Development] [Engineering - Telecom/Technology] [Computer Science] [Documentation] [front-end] [Mobile] [Problem Solving] [Software] [Software Engineering] [Flutter]
Software Product Manager,Techsa -,Hybrid,New Cairo,· 5 - 8,[Software Product Manager] [Manager] [IT/Software Development] [Project/Program Management] [Engineering - Telecom/Technology] [Computer Science] [Communication] [Engineering] [Information Technology (IT)] [Marketing] [Product Management] [Project Management]
Software Technical Support Executive,Order King -,On-site,Sheraton,· 1 - 6,[Software Technical Support Executive] [Experienced] [Installation/Maintenance/Repair] [IT/Software Development] [Computer Science] [Customer Care] [Help desk] [Technical Support] [computer] [Software] [POS#] [Network Engineering]
Sales Representative,Order King -,On-site,Sheraton,· 1 - 3,[Sales Representative] [Experienced] [Sales/Retail] [Sales] [Software Development] [sales skills] [Communication skills] [Presentation Skills] [Communication]
IT Help Desk Specialist,Confidential -,On-site,Alexandria,· 2 - 5,[IT Help Desk Specialist] [Experienced] [Installation/Maintenance/Repair] [IT/Software Development] [computer] [Computer Science] [Help desk] [Information technology] [Information Technology (IT)] [Software] [N+] [Troubleshooting]
Software Engineering Manager,Nacita -,Hybrid,Giza,· 7 - 15,[Software Engineering Manager] [Manager] [IT/Software Development] [DevOps] [Computer Science] [Information Technology (IT)] [Kubernetes] [NodeJS] [Software] [Software Development] [Engineering] [computer]
MSMEDA Internship Program,"The Micro, Small & Medium Enterprise Development Agency  -",On-site,Dokki,,[MSMEDA Internship Program] [Student] [Accounting/Finance] [IT/Software Development] [Marketing/PR/Advertising] [Computer Science] [Engineering] [Information Technology (IT)] [Student] [Programming]
Senior Application Security Engineer,Nacita -,Hybrid,Giza,· 3 - 7,[Senior Application Security Engineer] [Experienced] [IT/Software Development] [application] [Application Security] [computer] [Computer Engineering] [Computer Science] [Engineering] [Information Security] [Information Technology (IT)] [Science]
Senior Software Engineer,eVision -,Hybrid,New Cairo,· 3 - 6,[Senior Software Engineer] [Experienced] [Banking] [IT/Software Development] [APIs] [Docker] [Engineering] [Information Technology (IT)] [Java] [RESTful] [Software Development] [SQL]
Senior Software Quality Control Engineer,eVision -,On-site,New Cairo,· 3 - 6,[Senior Software Quality Control Engineer] [Experienced] [IT/Software Development] [Quality] [Engineering - Telecom/Technology] [Computer Science] [Information Systems] [Software Testing] [Quality Control] [QC] [ISTQB] [Information Technology (IT)]
Technical Support / Application Support Engineer,eVision -,On-site,New Cairo,· 0 - 2,[Technical Support / Application Support Engineer] [Entry Level] [IT/Software Development] [Engineering - Telecom/Technology] [Computer Science] [SQL] [Oracle] [Microsoft SQL] [Networking] [Application Security] [Computer Engineering] [Technical Support]
"Senior Front-end developer ""Vue js """,Dubai Cairo Sanafi -,Hybrid,Nasr City,· 4 - 7,"[Senior Front-end developer ""Vue js ""] [Experienced] [IT/Software Development] [Engineering - Telecom/Technology] [front-end] [Computer Science] [JavaScript] [Vue.js] [Front-End Developer] [Software Development] [PHP] [MySQL]"
CTO,Dubai Cairo Sanafi -,Hybrid,Nasr City,· 4 - 9,[CTO] [Senior Management] [IT/Software Development] [Engineering - Telecom/Technology] [Software Development] [Automation Testing] [RESTful APIs] [Project Management] [CTO] [Computer Science] [Information Technology (IT)] [PHP]
Senior React Native Developer,TechJump -,Hybrid,Alexandria,· 3 - 6,[Senior React Native Developer] [Experienced] [IT/Software Development] [Engineering - Telecom/Technology] [Development] [Computer Science] [Information Technology (IT)] [React Native] [Software Development] [Mobile Development]
Customer Support Representative,kafiil -,On-site,Maadi,· 2 - 5,[Customer Support Representative] [Experienced] [Customer Service/Support] [IT/Software Development] [Sales/Retail] [Customer] [Customer Care] [Customer Service] [customer support representative] [Representative] [Sales] [Support]
Angular Developer,Exco Egypt -,Hybrid,Nasr City,· 3+,[Angular Developer] [Experienced] [Creative/Design/Art] [IT/Software Development] [Engineering - Telecom/Technology] [Angular] [Computer Science] [CSS] [Development] [Git] [HTML] [Information Technology (IT)]
Architecture,Urban edge -,On-site,New Cairo,· 5+,[Architecture] [Experienced] [Engineering - Construction/Civil/Architecture] [Creative/Design/Art] [IT/Software Development] [architectural] [Architecture] [AutoCAD] [2D] [Engineering] [Design]
C NET Developer,Cyrus Technology Egypt  -,On-site,Cairo,,[C NET Developer] [Entry Level] [IT/Software Development] [.Net] [MVC] [ASP.Net] [SQL] [Software Development]
Woocommerce - Web Developer,Egroup -,On-site,Maadi,· 1 - 3,[Woocommerce - Web Developer] [Experienced] [Creative/Design/Art] [IT/Software Development] [WooCommerce] [CSS] [Development] [Design] [HTML] [Web Development]
Digital Marketing Manager,iVein Clinic -,Hybrid,Cairo,· 4 - 6,[Digital Marketing Manager] [Manager] [Marketing/PR/Advertising] [E-Marketing] [Digital Marketing] [Marketing] [digital marketing] [Social Media] [SEO] [Digital] [media] [Google Analytics]
Articulate 360 Developer,Exco Egypt -,Hybrid,Nasr City,· 2+,[Articulate 360 Developer] [Experienced] [IT/Software Development] [Adobe Captivate] [Instructional Design] [Articulate] [Design] [e-Learning] [Education] [learning] [Storyline] [Instructional]
Senior Technical Support Specialist,Dar Al-Fouad Hospital -,On-site,Nasr City,· 3 - 5,[Senior Technical Support Specialist] [Experienced] [IT/Software Development] [Technical Support] [Information Technology (IT)]
Senior Network Security Engineer,data exploration technology -,On-site,Mokattam,· 5 - 7,[Senior Network Security Engineer] [Experienced] [Installation/Maintenance/Repair] [IT/Software Development] [Engineering - Telecom/Technology] [Computer Engineering] [Computer Science] [Engineering] [Fortinet] [Firewall] [Information Technology (IT)] [IT]
Application Developer Senior Supervisor,Xceed Contact Center -,On-site,Cairo,· 5 - 7,[Application Developer Senior Supervisor] [Manager] [IT/Software Development] [Engineering - Telecom/Technology] [Information Technology (IT)] [Communication] [Engineering] [Computer Science] [Software Engineering] [Programming] [Software] [Software Development]
Telecommunication Support Engineer,Xceed Contact Center -,On-site,Giza,· 0 - 1,[Telecommunication Support Engineer] [Entry Level] [IT/Software Development] [Engineering - Telecom/Technology] [CCNA] [CCNP] [Computer Science] [Telecommunication] [communications] [Engineering] [Information Technology (IT)] [Telecommunication Systems Software]
ERP technical support,Sinmar Soft   -,On-site,New Nozha,· 2 - 8,[ERP technical support] [Experienced] [Customer Service/Support] [IT/Software Development] [Information technology] [Technical Support] [Customer Service]
Full time Senior VB6 Developer,Sinmar Soft   -,On-site,Nozha,· 5+,[Full time Senior VB6 Developer] [Experienced] [IT/Software Development] [VB6] [Visual Basic 6]
"Full time Senior ASP Net Core, Blazor Full Stack Developer",Sinmar Soft   -,On-site,New Nozha,· 4 - 10,"[Full time Senior ASP Net Core, Blazor Full Stack Developer] [Experienced] [IT/Software Development] [Project/Program Management] [Engineering - Telecom/Technology] [blazor] [MVC] [ASP.NET Core] [c#.net] [ASP.net MVC 5]"
Premises Director,Teleperformance - Egypt -,On-site,New Cairo,· 10+,[Premises Director] [Experienced] [Engineering - Other] [Engineering] [Facility Management]
Front-end Developer ( Angular ),Nahdet Misr Publishing Group -,Hybrid,Mohandessin,· 2 - 4,[Front-end Developer ( Angular )] [Experienced] [Creative/Design/Art] [IT/Software Development] [Engineering - Telecom/Technology] [Information Technology (IT)] [Software Development] [jQuery] [HTML] [Angular] [JavaScript] [Software Engineering]
Senior Java Developer,Al Ahly Momkn for e-payment -,On-site,Maadi,· 3 - 5,[Senior Java Developer] [Experienced] [IT/Software Development] [Engineering] [Computer Science] [Software Development]
Technical Recruitment Specialist,Afaqy -,On-site,Maadi,· 1 - 3,[Technical Recruitment Specialist] [Experienced] [Human Resources] [IT/Software Development] [Recruitment] [Human Resources (HR)] [Recruiting] [English] [Microsoft Office] [Communication Skills] [Software] [Human Resources]
IT System Supervisor,BDO Esnad -,On-site,Maadi,· 7 - 9,[IT System Supervisor] [Experienced] [IT/Software Development] [Information Technology (IT)] [system]
Odoo ERP Consultant,Digizilla -,On-site,Nasr City,· 2 - 5,[Odoo ERP Consultant] [Experienced] [Accounting/Finance] [IT/Software Development] [ERP] [Computer Science] [Odoo Modules] [Project] [Information Technology (IT)] [computer] [business]
Software Business Analyst,Confidential -,Remote,Alexandria,· 3 - 6,[Software Business Analyst] [Experienced] [IT/Software Development] [Analyst/Research] [Business Analysis] [Software] [Analysis] [business] [Communication] [Communication skills] [Computer Science] [Data]
Senior PHP Laravel Developer,kafiil -,On-site,Maadi,· 3 - 7,[Senior PHP Laravel Developer] [Experienced] [IT/Software Development] [Computer Science] [PHP] [Laravel Framework] [Laravel PHP] [Back-End Development] [RESTful APIs] [RESTful API] [Git] [Github]
Senior Network Manager,Teleperformance - Egypt -,On-site,Katameya,· 12 - 20,[Senior Network Manager] [Manager] [IT/Software Development] [Engineering - Telecom/Technology] [Cisco] [CCNP] [Computer Engineering] [Computer Science] [Engineering] [English] [Information Technology (IT)] [Network]
Dental Sales Manager,Tabah dental -,On-site,Dakahlia,· 3 - 8,[Dental Sales Manager] [Manager] [Operations/Management] [Medical/Healthcare] [Sales/Retail] [Dental Implant] [dental sales] [Outdoor Sales] [Sales] [dental materials] [Management] [Planning]
Senior Contract Engineer,Nile Development  -,On-site,New Capital,· 3 - 5,[Senior Contract Engineer] [Experienced] [Engineering - Construction/Civil/Architecture] [Communication] [Computer Science] [Construction] [Contract Management] [Contracts] [Engineering] [Contract] [Information Technology (IT)] [Management]
Marketing Specialist,Crete Solutions  -,On-site,Nasr City,· 3 - 5,[Marketing Specialist] [Experienced] [IT/Software Development] [digital marketing] [Marketing] [Content] [Communication skills] [Google Analytics] [Marketing Campaigns] [Social Media] [E-Marketing]
Software Sales Executive,Crete Solutions  -,On-site,Nasr City,· 1 - 5,[Software Sales Executive] [Experienced] [IT/Software Development] [Sales/Retail] [Engineering - Telecom/Technology] [Sales] [Software] [Sales Target] [Communication] [CRM] [Software Sales]
Odoo Developer,Confidential -,On-site,Cairo,· 7 - 15,[Odoo Developer] [Experienced] [IT/Software Development] [ERP] [Odoo] [PostgreSQL] [Python] [Software Development] [Information Technology (IT)] [XML] [Programming] [Computer Science]
Telemarketer,Greens247 -,Remote,Cairo,· 0 - 3,[Telemarketer] [Entry Level] [Customer Service/Support] [Marketing/PR/Advertising] [Sales/Retail] [computer] [CRM] [Customer Service] [Sales] [cPanel] [Web Hosting] [WordPress]
Senior Android Developer,RDI -,Remote,Dokki,· 3+,[Senior Android Developer] [Experienced] [IT/Software Development] [Engineering - Telecom/Technology] [Android SDK] [Android] [Android UI] [Android App] [Offline Storage] [Threading] [Performance Tuning] [Code Versioning Tools]
Head OF IT,Confidential -,On-site,New Cairo,· 18+,[Head OF IT] [Manager] [IT/Software Development] [IT Infrastructure] [IT] [ITIL] [Networking]
IT Specialist,Outsourcing Skill -,On-site,Maadi,· 2 - 3,[IT Specialist] [Experienced] [Installation/Maintenance/Repair] [IT/Software Development] [Engineering - Telecom/Technology] [CCNA] [Communication] [Communication skills] [English] [firewalls] [Computer Science] [Information Technology (IT)]
Backend Developer (undergrad),Neuranex co -,Hybrid,Sheikh Zayed,· 0 - 1,[Backend Developer (undergrad)] [Student] [IT/Software Development] [Engineering - Telecom/Technology] [backend] [RESTful] [Programming] [APIs] [Git] [Web Services] [SQL] [NoSQL]
Showroom Sales Officer (Females Only),Colortek Egypt / Epdc -,On-site,New Cairo,· 0 - 2,[Showroom Sales Officer (Females Only)] [Experienced] [Engineering - Construction/Civil/Architecture] [Customer Service/Support] [Sales/Retail] [business] [B2B] [Communication] [Arabic] [CRM] [Customer Service] [English]
Customer Service Officer (Females Only),Colortek Egypt / Epdc -,On-site,Maadi,· 1 - 2,[Customer Service Officer (Females Only)] [Experienced] [Engineering - Construction/Civil/Architecture] [Customer Service/Support] [Sales/Retail] [Communication] [CRM] [Customer Care] [Customer Service] [Customer Support] [English] [Retail]
IT Specialist,Rockal -,On-site,Nasr City,· 0 - 2,[IT Specialist] [Entry Level] [Installation/Maintenance/Repair] [IT/Software Development] [Engineering - Telecom/Technology] [Information Technology (IT)] [Computer Science] [Technical Support] [Computer Engineering] [Network Administration] [Installation] [Networking]
IT System Administrator,GLOBAL AUTO -,On-site,Obour City,· 4 - 8,[IT System Administrator] [Experienced] [Installation/Maintenance/Repair] [IT/Software Development] [Engineering - Telecom/Technology] [Administrator] [IT system] [Information Technology (IT)] [Computer Science] [IT] [System administrator] [Computer Engineering]
IT Supervisor,Confidential -,On-site,Cairo,· 5 - 10,[IT Supervisor] [Experienced] [IT/Software Development] [Engineering - Telecom/Technology] [Computer Science] [Computer Engineering] [Information Technology (IT)] [Cisco] [VMware] [Microsoft] [Disaster Recovery Planning] [Firewalls]
IT Specialist,GLOBAL AUTO -,On-site,Obour City,· 1 - 4,[IT Specialist] [Experienced] [Installation/Maintenance/Repair] [IT/Software Development] [Engineering - Telecom/Technology] [computer] [Computer Science] [Information Technology (IT)] [Installation] [Software] [Technical Support] [server]
Business Analyst,egabi solutions -,On-site,Sheraton,· 3 - 7,[Business Analyst] [Experienced] [IT/Software Development] [business] [Analyst] [Business Analysis] [Computer Science] [Engineering] [Information Technology (IT)] [Software] [Software Development] [Business Analyst]
AI Engineer,Arab AI -,Remote,Ras Albar,· 5 - 7,[AI Engineer] [Experienced] [IT/Software Development] [Engineering - Telecom/Technology] [AI] [Information Technology (IT)] [Engineering] [Computer Science]
Foreign Procurement Specialist,Confidential -,On-site,Nasr City,· 3 - 5,[Foreign Procurement Specialist] [Experienced] [Administration] [Logistics/Supply Chain] [Purchasing/Procurement] [Foreign Procurement] [Management] [Manufacturing] [Procurement] [Purchasing] [supply chain management] [Supply Chain]
Odoo Implementer,Confidential -,Hybrid,Cairo,· 3 - 6,[Odoo Implementer] [Experienced] [IT/Software Development] [Engineering - Telecom/Technology] [Implementation] [Information Technology (IT)] [Odoo] [Odoo ERP] [ERP Implementation] [Engineering] [Computer Science]
Senior Mobile Developer,Millensys -,Remote,Cairo,· 3+,[Senior Mobile Developer] [Experienced] [IT/Software Development] [Engineering - Telecom/Technology] [Information Technology] [Engineering] [Computer Science] [Mobile Development] [OO] [SOAP] [JSON] [XML]
Senior Odoo Implementer,ECC Group -,On-site,Nasr City,· 2 - 5,[Senior Odoo Implementer] [Experienced] [IT/Software Development] [Development] [ERP] [Odoo]
ERP Application Consultant,Rednet It Services -,On-site,Cairo,· 1 - 5,[ERP Application Consultant] [Experienced] [Accounting/Finance] [IT/Software Development] [Engineering - Telecom/Technology] [Information Technology (IT)] [ERP] [Accounting] [Microsoft SQL Server] [C#.Net] [Software Development] [Software Engineering]
Senior Electrical Machines Process Engineer,LinkMisr -,On-site,10th of Ramadan City,· 4 - 7,[Senior Electrical Machines Process Engineer] [Experienced] [Installation/Maintenance/Repair] [Manufacturing/Production] [Engineering - Mechanical/Electrical] [Manufacturing Process] [Product Development] [Lean manufacturing] [Production Process] [process automation] [Maintenance Engineering]
Sr. Oracle Financial Consultant,Elsewedy industries -,On-site,10th of Ramadan City,· 3 - 6,[Sr. Oracle Financial Consultant] [Experienced] [IT/Software Development] [Computer Science] [oracle financial consultant] [Oracle EBS]
Senior UI/UX Designer,Arabia for Information Technology -,Hybrid,Cairo,· 3+,[Senior UI/UX Designer] [Experienced] [Installation/Maintenance/Repair] [IT/Software Development] [Engineering - Telecom/Technology] [UI] [UX] [Graphic Design] [Design] [Web Design] [Information Technology (IT)] [Software Engineering]
